equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_but,resultat,total_buts
Manchester Red,Manchester Blue,3.6,3.55,2.0,2-2,2.0,2.0,4.0,N,
N. Forest,Bournemouth,1.78,4.01,4.0,3-0,3.0,0.0,3.0,D,
Wolverhampton,London Reds,6.46,4.07,1.52,1-2,1.0,2.0,3.0,E,
Brentford,Liverpool,2.79,4.22,2.15,0-3,0.0,3.0,3.0,E,
Fulham,West Ham,1.81,4.03,3.86,4-0,4.0,0.0,4.0,D,
A. Villa,Brighton,1.71,4.55,3.89,1-1,1.0,1.0,2.0,N,
London Blues,Sunderland,1.41,4.88,6.88,2-1,2.0,1.0,3.0,D,
Spurs,Newcastle,2.2,4.19,2.72,2-1,2.0,1.0,3.0,D,
Leeds,Everton,4.0,3.25,1.99,1-0,1.0,0.0,1.0,D,
C. Palace,Burnley,1.54,4.59,5.18,3-1,3.0,1.0,4.0,D,
Burnley,West Ham,2.62,3.45,2.5700000000000003,0-0,0.0,0.0,0.0,N,
Manchester Red,Spurs,1.96,4.04,3.3,1-1,1.0,1.0,2.0,N,
London Reds,London Blues,1.41,5.01,6.52,0-1,0.0,1.0,1.0,E,
Bournemouth,Liverpool,3.45,3.68,2.01,0-3,0.0,3.0,3.0,E,
Leeds,N. Forest,3.76,3.75,1.9,0-0,0.0,0.0,0.0,N,
Everton,Fulham,2.59,3.18,2.79,0-1,0.0,1.0,1.0,E,
Manchester Blue,Brentford,1.35,5.35,7.57,2-0,2.0,0.0,2.0,D,
Brighton,Wolverhampton,1.53,4.49,5.5,3-1,3.0,1.0,4.0,D,
Newcastle,Sunderland,1.24,6.28,10.65,2-1,2.0,1.0,3.0,D,
A. Villa,C. Palace,1.6,4.17,5.13,2-1,2.0,1.0,3.0,D,
A. Villa,Wolverhampton,1.38,5.15,7.12,1-0,1.0,0.0,1.0,D,
Manchester Blue,N. Forest,1.18,7.62,12.65,3-1,3.0,1.0,4.0,D,
Bournemouth,Brentford,2.62,3.2,2.73,0-3,0.0,3.0,3.0,E,
Liverpool,Brighton,1.37,5.41,6.82,5-1,5.0,1.0,6.0,D,
London Reds,C. Palace,1.39,4.79,7.55,2-0,2.0,0.0,2.0,D,
Burnley,London Blues,3.63,3.62,1.97,0-3,0.0,3.0,3.0,E,
West Ham,Sunderland,1.83,4.0,3.78,1-2,1.0,2.0,3.0,E,
Everton,Spurs,2.5700000000000003,3.5700000000000003,2.56,2-2,2.0,2.0,4.0,N,
Leeds,Manchester Red,4.8100000000000005,3.86,1.69,1-2,1.0,2.0,3.0,E,
Newcastle,Fulham,1.49,4.48,6.11,2-1,2.0,1.0,3.0,D,
Brentford,West Ham,1.66,4.44,4.3,2-1,2.0,1.0,3.0,D,
Wolverhampton,Manchester Blue,5.68,4.01,1.58,0-5,0.0,5.0,5.0,E,
London Blues,Liverpool,2.33,3.79,2.73,2-1,2.0,1.0,3.0,D,
Spurs,London Reds,4.31,4.19,1.7000000000000002,1-4,1.0,4.0,5.0,E,
Manchester Red,Everton,1.67,3.58,5.53,4-0,4.0,0.0,4.0,D,
Fulham,Burnley,1.57,4.65,4.8,1-1,1.0,1.0,2.0,N,
Leeds,A. Villa,4.98,4.01,1.64,1-2,1.0,2.0,3.0,E,
Brighton,Sunderland,1.48,4.76,5.68,2-0,2.0,0.0,2.0,D,
N. Forest,Newcastle,2.51,3.64,2.59,3-0,3.0,0.0,3.0,D,
C. Palace,Bournemouth,1.86,3.97,3.68,4-1,4.0,1.0,5.0,D,
Wolverhampton,N. Forest,1.95,3.7,3.63,2-3,2.0,3.0,5.0,E,
Bournemouth,Burnley,1.66,4.09,4.69,1-0,1.0,0.0,1.0,D,
Newcastle,West Ham,1.31,5.59,8.49,2-1,2.0,1.0,3.0,D,
Manchester Red,C. Palace,1.92,3.47,3.97,3-1,3.0,1.0,4.0,D,
A. Villa,Brentford,1.71,4.05,4.38,2-1,2.0,1.0,3.0,D,
Manchester Blue,Sunderland,1.17,7.88,13.01,3-0,3.0,0.0,3.0,D,
Everton,London Blues,2.62,3.21,2.72,1-1,1.0,1.0,2.0,N,
Brighton,Spurs,1.99,4.18,3.13,2-1,2.0,1.0,3.0,D,
Leeds,Fulham,5.58,4.19,1.56,0-1,0.0,1.0,1.0,E,
London Reds,Liverpool,1.73,4.32,3.98,1-1,1.0,1.0,2.0,N,
A. Villa,Bournemouth,1.43,5.18,5.89,5-0,5.0,0.0,5.0,D,
Manchester Blue,London Reds,2.23,3.67,2.95,3-1,3.0,1.0,4.0,D,
N. Forest,London Blues,2.16,3.56,3.15,0-0,0.0,0.0,0.0,N,
Wolverhampton,Liverpool,3.85,4.0,1.82,2-2,2.0,2.0,4.0,N,
Manchester Red,West Ham,1.6,4.14,5.19,1-0,1.0,0.0,1.0,D,
Leeds,Burnley,3.3,3.93,1.99,2-2,2.0,2.0,4.0,N,
