,equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_buts,resultat
0,Manchester Red,Manchester Blue,3.6,3.55,2.0,2-2,2.0,2.0,4.0,N
1,N. Forest,Bournemouth,1.78,4.01,4.0,3-0,3.0,0.0,3.0,D
2,Wolverhampton,London Reds,6.46,4.07,1.52,1-2,1.0,2.0,3.0,E
3,Brentford,Liverpool,2.79,4.22,2.15,0-3,0.0,3.0,3.0,E
4,Fulham,West Ham,1.81,4.03,3.86,4-0,4.0,0.0,4.0,D
5,A. Villa,Brighton,1.71,4.55,3.89,1-1,1.0,1.0,2.0,N
6,London Blues,Sunderland,1.41,4.88,6.88,2-1,2.0,1.0,3.0,D
7,Spurs,Newcastle,2.2,4.19,2.72,2-1,2.0,1.0,3.0,D
8,Leeds,Everton,4.0,3.25,1.99,1-0,1.0,0.0,1.0,D
9,C. Palace,Burnley,1.54,4.59,5.18,3-1,3.0,1.0,4.0,D
10,Burnley,West Ham,2.62,3.45,2.5700000000000003,0-0,0.0,0.0,0.0,N
11,Manchester Red,Spurs,1.96,4.04,3.3,1-1,1.0,1.0,2.0,N
12,London Reds,London Blues,1.41,5.01,6.52,0-1,0.0,1.0,1.0,E
13,Bournemouth,Liverpool,3.45,3.68,2.01,0-3,0.0,3.0,3.0,E
14,Leeds,N. Forest,3.76,3.75,1.9,0-0,0.0,0.0,0.0,N
15,Everton,Fulham,2.59,3.18,2.79,0-1,0.0,1.0,1.0,E
16,Manchester Blue,Brentford,1.35,5.35,7.57,2-0,2.0,0.0,2.0,D
17,Brighton,Wolverhampton,1.53,4.49,5.5,3-1,3.0,1.0,4.0,D
18,Newcastle,Sunderland,1.24,6.28,10.65,2-1,2.0,1.0,3.0,D
19,A. Villa,C. Palace,1.6,4.17,5.13,2-1,2.0,1.0,3.0,D
20,A. Villa,Wolverhampton,1.38,5.15,7.12,1-0,1.0,0.0,1.0,D
21,Manchester Blue,N. Forest,1.18,7.62,12.65,3-1,3.0,1.0,4.0,D
22,Bournemouth,Brentford,2.62,3.2,2.73,0-3,0.0,3.0,3.0,E
23,Liverpool,Brighton,1.37,5.41,6.82,5-1,5.0,1.0,6.0,D
24,London Reds,C. Palace,1.39,4.79,7.55,2-0,2.0,0.0,2.0,D
25,Burnley,London Blues,3.63,3.62,1.97,0-3,0.0,3.0,3.0,E
26,West Ham,Sunderland,1.83,4.0,3.78,1-2,1.0,2.0,3.0,E
27,Everton,Spurs,2.5700000000000003,3.5700000000000003,2.56,2-2,2.0,2.0,4.0,N
28,Leeds,Manchester Red,4.8100000000000005,3.86,1.69,1-2,1.0,2.0,3.0,E
29,Newcastle,Fulham,1.49,4.48,6.11,2-1,2.0,1.0,3.0,D
30,Brentford,West Ham,1.66,4.44,4.3,2-1,2.0,1.0,3.0,D
31,Wolverhampton,Manchester Blue,5.68,4.01,1.58,0-5,0.0,5.0,5.0,E
32,London Blues,Liverpool,2.33,3.79,2.73,2-1,2.0,1.0,3.0,D
33,Spurs,London Reds,4.31,4.19,1.7000000000000002,1-4,1.0,4.0,5.0,E
34,Manchester Red,Everton,1.67,3.58,5.53,4-0,4.0,0.0,4.0,D
35,Fulham,Burnley,1.57,4.65,4.8,1-1,1.0,1.0,2.0,N
36,Leeds,A. Villa,4.98,4.01,1.64,1-2,1.0,2.0,3.0,E
37,Brighton,Sunderland,1.48,4.76,5.68,2-0,2.0,0.0,2.0,D
38,N. Forest,Newcastle,2.51,3.64,2.59,3-0,3.0,0.0,3.0,D
39,C. Palace,Bournemouth,1.86,3.97,3.68,4-1,4.0,1.0,5.0,D
40,Wolverhampton,N. Forest,1.95,3.7,3.63,2-3,2.0,3.0,5.0,E
41,Bournemouth,Burnley,1.66,4.09,4.69,1-0,1.0,0.0,1.0,D
42,Newcastle,West Ham,1.31,5.59,8.49,2-1,2.0,1.0,3.0,D
43,Manchester Red,C. Palace,1.92,3.47,3.97,3-1,3.0,1.0,4.0,D
44,A. Villa,Brentford,1.71,4.05,4.38,2-1,2.0,1.0,3.0,D
45,Manchester Blue,Sunderland,1.17,7.88,13.01,3-0,3.0,0.0,3.0,D
46,Everton,London Blues,2.62,3.21,2.72,1-1,1.0,1.0,2.0,N
47,Brighton,Spurs,1.99,4.18,3.13,2-1,2.0,1.0,3.0,D
48,Leeds,Fulham,5.58,4.19,1.56,0-1,0.0,1.0,1.0,E
49,London Reds,Liverpool,1.73,4.32,3.98,1-1,1.0,1.0,2.0,N
50,A. Villa,Bournemouth,1.43,5.18,5.89,5-0,5.0,0.0,5.0,D
51,Manchester Blue,London Reds,2.23,3.67,2.95,3-1,3.0,1.0,4.0,D
52,N. Forest,London Blues,2.16,3.56,3.15,0-0,0.0,0.0,0.0,N
53,Wolverhampton,Liverpool,3.85,4.0,1.82,2-2,2.0,2.0,4.0,N
54,Manchester Red,West Ham,1.6,4.14,5.19,1-0,1.0,0.0,1.0,D
55,Leeds,Burnley,3.3,3.93,1.99,2-2,2.0,2.0,4.0,N
56,Spurs,Sunderland,1.52,4.88,5.12,2-3,2.0,3.0,5.0,E
57,C. Palace,Brentford,2.35,3.43,2.92,3-2,3.0,2.0,5.0,D
58,Everton,Newcastle,2.9,3.43,2.36,0-1,0.0,1.0,1.0,E
59,Brighton,Fulham,2.0,3.76,3.39,1-4,1.0,4.0,5.0,E
60,Wolverhampton,A. Villa,2.35,3.41,2.93,1-1,1.0,1.0,2.0,N
61,N. Forest,Manchester Blue,4.08,3.52,1.88,0-2,0.0,2.0,2.0,E
62,Brentford,Bournemouth,1.66,4.69,4.12,3-2,3.0,2.0,5.0,D
63,Brighton,Liverpool,2.68,3.91,2.32,3-2,3.0,2.0,5.0,D
64,C. Palace,London Reds,5.1,3.84,1.66,0-1,0.0,1.0,1.0,E
65,London Blues,Burnley,1.36,5.32,7.34,3-0,3.0,0.0,3.0,D
66,Sunderland,West Ham,4.84,3.94,1.67,1-1,1.0,1.0,2.0,N
67,Spurs,Everton,1.62,4.1,5.04,1-4,1.0,4.0,5.0,E
68,Manchester Red,Leeds,1.37,4.61,8.9,3-1,3.0,1.0,4.0,D
69,Fulham,Newcastle,2.54,3.93,2.43,1-0,1.0,0.0,1.0,D
70,Manchester Blue,Manchester Red,1.31,5.62,8.47,2-0,2.0,0.0,2.0,D
71,Bournemouth,N. Forest,1.88,3.66,3.93,2-1,2.0,1.0,3.0,D
72,London Reds,Wolverhampton,1.22,6.57,11.07,5-0,5.0,0.0,5.0,D
73,Liverpool,Brentford,1.37,4.98,7.87,2-1,2.0,1.0,3.0,D
74,West Ham,Fulham,2.45,3.56,2.69,5-0,5.0,0.0,5.0,D
75,Brighton,A. Villa,1.86,3.82,3.83,1-1,1.0,1.0,2.0,N
76,Sunderland,London Blues,6.68,4.51,1.45,2-0,2.0,0.0,2.0,D
77,Newcastle,Spurs,1.46,5.0,5.71,0-2,0.0,2.0,2.0,E
78,Everton,Leeds,1.69,3.36,5.8100000000000005,0-0,0.0,0.0,0.0,N
79,Burnley,C. Palace,3.23,3.23,2.27,1-2,1.0,2.0,3.0,E
80,Manchester Blue,C. Palace,1.27,5.82,9.71,1-0,1.0,0.0,1.0,D
81,Everton,Liverpool,3.61,3.56,1.99,2-1,2.0,1.0,3.0,D
83,N. Forest,Leeds,1.45,4.29,7.31,2-1,2.0,1.0,3.0,D
84,London Blues,Brighton,1.79,4.23,3.76,1-2,1.0,2.0,3.0,E
85,Sunderland,A. Villa,6.61,4.27,1.48,1-3,1.0,3.0,4.0,E
86,Manchester Red,Newcastle,2.2,3.76,2.94,2-1,2.0,1.0,3.0,D
87,Bournemouth,Spurs,2.46,3.72,2.6,1-1,1.0,1.0,2.0,N
88,London Reds,Fulham,1.41,4.87,6.84,3-2,3.0,2.0,5.0,D
89,Burnley,Brentford,3.78,3.38,2.0,1-1,1.0,1.0,2.0,N
90,Fulham,Bournemouth,1.85,4.18,3.58,2-1,2.0,1.0,3.0,D
91,Liverpool,London Reds,2.23,3.42,3.14,1-4,1.0,4.0,5.0,E
92,Leeds,Wolverhampton,3.7,3.72,1.92,0-3,0.0,3.0,3.0,E
94,C. Palace,Sunderland,1.6800000000000002,4.06,4.57,2-0,2.0,0.0,2.0,D
95,Spurs,Manchester Red,1.82,4.1,3.73,3-2,3.0,2.0,5.0,D
96,West Ham,Manchester Blue,5.13,4.11,1.61,0-5,0.0,5.0,5.0,E
97,Brighton,Everton,1.64,3.77,5.37,3-2,3.0,2.0,5.0,D
98,N. Forest,Brentford,2.31,3.38,3.03,3-2,3.0,2.0,5.0,D
99,Newcastle,Burnley,1.21,6.99,11.05,6-0,6.0,0.0,6.0,D
100,Everton,C. Palace,2.43,3.08,3.09,1-4,1.0,4.0,5.0,E
101,Burnley,Fulham,3.59,3.44,2.04,0-1,0.0,1.0,1.0,E
102,Manchester Blue,Wolverhampton,1.17,7.75,13.28,5-1,5.0,1.0,6.0,D
103,Newcastle,N. Forest,1.26,6.09,9.96,5-1,5.0,1.0,6.0,D
104,Sunderland,Leeds,3.18,3.14,2.34,1-2,1.0,2.0,3.0,E
105,Manchester Red,Liverpool,2.58,3.77,2.45,3-0,3.0,0.0,3.0,D
106,Bournemouth,Brighton,2.64,3.65,2.45,1-0,1.0,0.0,1.0,D
107,London Reds,A. Villa,1.34,5.36,8.02,4-1,4.0,1.0,5.0,D
108,London Blues,West Ham,1.48,4.59,6.03,1-3,1.0,3.0,4.0,E
109,Brentford,Spurs,2.03,4.37,2.95,2-2,2.0,2.0,4.0,N
110,Spurs,Liverpool,2.5700000000000003,4.26,2.29,1-4,1.0,4.0,5.0,E
111,Fulham,N. Forest,1.6800000000000002,4.22,4.37,0-0,0.0,0.0,0.0,N
112,London Blues,Sunderland,1.44,4.67,6.55,2-0,2.0,0.0,2.0,D
113,Brentford,A. Villa,1.88,4.02,3.59,3-1,3.0,1.0,4.0,D
114,Manchester Red,West Ham,1.58,4.19,5.27,2-0,2.0,0.0,2.0,D
115,Newcastle,Brighton,1.46,5.02,5.64,1-1,1.0,1.0,2.0,N
116,Bournemouth,Leeds,1.59,3.73,6.07,0-0,0.0,0.0,0.0,N
117,Everton,Manchester Blue,5.36,3.58,1.6800000000000002,0-0,0.0,0.0,0.0,N
118,Burnley,C. Palace,3.12,3.17,2.35,2-0,2.0,0.0,2.0,D
119,London Reds,Wolverhampton,1.21,6.84,11.54,3-1,3.0,1.0,4.0,D
120,C. Palace,Newcastle,2.5700000000000003,3.7,2.49,0-1,0.0,1.0,1.0,E
121,N. Forest,Liverpool,2.97,3.73,2.2,1-3,1.0,3.0,4.0,E
122,Manchester Blue,Bournemouth,1.22,7.05,10.47,3-1,3.0,1.0,4.0,D
123,London Blues,Everton,1.56,3.78,6.47,5-0,5.0,0.0,5.0,D
124,Leeds,Burnley,3.41,3.87,1.97,0-0,0.0,0.0,0.0,N
125,Wolverhampton,Manchester Red,2.39,3.39,2.89,0-3,0.0,3.0,3.0,E
126,West Ham,Brentford,2.55,3.5,2.61,1-1,1.0,1.0,2.0,N
127,Brighton,Fulham,1.94,3.78,3.56,2-2,2.0,2.0,4.0,N
128,A. Villa,Spurs,1.6800000000000002,4.57,4.08,2-1,2.0,1.0,3.0,D
129,Sunderland,London Reds,24.4,8.15,1.12,1-2,1.0,2.0,3.0,E
130,Newcastle,Leeds,1.18,6.82,15.88,3-0,3.0,0.0,3.0,D
131,Liverpool,A. Villa,1.29,5.58,9.56,3-1,3.0,1.0,4.0,D
132,Brighton,N. Forest,1.51,4.57,5.62,3-0,3.0,0.0,3.0,D
133,Manchester Red,Sunderland,1.52,4.4,5.79,2-1,2.0,1.0,3.0,D
134,Bournemouth,London Blues,2.56,3.37,2.69,3-0,3.0,0.0,3.0,D
135,Burnley,Manchester Blue,7.55,4.37,1.43,1-1,1.0,1.0,2.0,N
136,Fulham,C. Palace,2.11,3.54,3.29,2-0,2.0,0.0,2.0,D
137,Brentford,Wolverhampton,1.57,4.61,4.87,2-0,2.0,0.0,2.0,D
138,London Reds,Everton,1.3,5.26,10.1,4-1,4.0,1.0,5.0,D
139,Spurs,West Ham,1.56,4.74,4.79,3-0,3.0,0.0,3.0,D
140,London Blues,Burnley,1.35,5.29,7.52,2-1,2.0,1.0,3.0,D
141,London Reds,Bournemouth,1.27,6.37,8.7,5-0,5.0,0.0,5.0,D
142,Manchester Blue,Newcastle,1.44,5.12,5.8100000000000005,2-1,2.0,1.0,3.0,D
143,West Ham,Liverpool,3.63,4.15,1.84,2-2,2.0,2.0,4.0,N
144,Everton,Manchester Red,2.33,3.17,3.18,2-2,2.0,2.0,4.0,N
145,Sunderland,Brentford,7.87,4.57,1.4,1-1,1.0,1.0,2.0,N
146,Leeds,Fulham,5.73,4.16,1.55,0-1,0.0,1.0,1.0,E
147,N. Forest,A. Villa,2.09,3.44,3.45,3-0,3.0,0.0,3.0,D
148,C. Palace,Brighton,2.23,3.89,2.8200000000000003,2-0,2.0,0.0,2.0,D
149,Wolverhampton,Spurs,2.63,3.83,2.38,1-1,1.0,1.0,2.0,N
150,N. Forest,West Ham,1.76,3.83,4.35,2-2,2.0,2.0,4.0,N
151,Manchester Red,Burnley,1.46,4.75,6.04,3-1,3.0,1.0,4.0,D
152,Manchester Blue,Brighton,1.34,5.9,6.9,4-0,4.0,0.0,4.0,D
153,Wolverhampton,A. Villa,2.31,3.45,2.96,3-1,3.0,1.0,4.0,D
154,Sunderland,Liverpool,12.12,6.58,1.21,0-3,0.0,3.0,3.0,E
155,Bournemouth,Brentford,2.61,3.25,2.71,3-2,3.0,2.0,5.0,D
